zip,event
72270,Heidelberg
72299,Heidelberg
72336,Esslingen
73779,Esslingen
74072,Heidelberg
74211,Heidelberg
74214,Esslingen
74219,Heidelberg
74235,Heidelberg
74238,Esslingen
74239,Heidelberg
74259,Heidelberg
74321,Esslingen
74336,Heidelberg
74343,Esslingen
74348,Heidelberg
74354,Esslingen
74357,Esslingen
74360,Heidelberg
74363,Heidelberg
74366,Esslingen
74372,Esslingen
74374,Heidelberg
74376,Esslingen
74379,Esslingen
74382,Heidelberg
74385,Esslingen
74388,Heidelberg
74389,Heidelberg
74391,Esslingen
74395,Esslingen
74397,Heidelberg
74399,Esslingen
74592,Esslingen
74594,Nürnberg
74595,Esslingen
74679,Esslingen
74706,Heidelberg
75391,Heidelberg
75392,Esslingen
75394,Heidelberg
76709,Heidelberg
76726,Mainz
76891,Mainz
77652,Esslingen
77799,Esslingen
77815,Heidelberg
77839,Heidelberg
77855,Esslingen
79879,Esslingen
80331,München
84066,München
84069,Nürnberg
84072,München
87789,München
88045,Esslingen
88099,Esslingen
88131,München
88145,München
88147,Esslingen
88149,München
88179,München
88212,Esslingen
89198,Esslingen
89231,München
89447,München
89518,Esslingen
89619,Esslingen
90402,Nürnberg
91793,Nürnberg
91795,München
91796,Nürnberg
91802,Nürnberg
91804,München
91805,Nürnberg
91807,Nürnberg
91809,München
92224,Nürnberg
92334,Nürnberg
92339,München
92342,Nürnberg
93073,Nürnberg
93077,München
93080,Nürnberg
93199,Nürnberg
93309,München
93359,München
93413,Nürnberg
93470,Nürnberg
93471,München
93473,Nürnberg
93499,Nürnberg
94032,München
94579,München
95028,Nürnberg
96489,Nürnberg
96515,Erfurt
96528,Erfurt
97070,Nürnberg
97859,Nürnberg
97877,Heidelberg
97892,Nürnberg
97896,Heidelberg
97900,Heidelberg
97901,Nürnberg
97909,Nürnberg
97922,Heidelberg
97999,Heidelberg
98527,Erfurt
99998,Erfurt
